PART_ID,Trial,Proc_version,Exp,Key,Corr,SOA,Reversal,Level,Rev_count,Lat
MALE20,1,Freq,0,right,1,100,-,-,-,2.709351576049812
MALE20,1,Freq,0,right,1,100,-,-,-,1.5332425750093535
MALE20,1,Freq,0,left,1,100,-,-,-,1.1386849329574034
MALE20,1,Freq,0,left,1,100,-,-,-,1.1870943020330742
MALE20,1,Freq,0,left,1,100,-,-,-,1.0355829580221325
MALE20,1,Freq,0,right,1,100,-,-,-,1.0061249490827322
MALE20,2,Freq,0,right,1,80,-,-,-,1.1762897750595585
MALE20,2,Freq,0,right,1,80,-,-,-,1.4856621900107712
MALE20,3,Freq,0,left,1,40,-,-,-,1.146126907900907
MALE20,3,Freq,0,left,1,40,-,-,-,0.9369603430386633
MALE20,3,Freq,1,left,1,50,0,0,0,1.2492824770743027
MALE20,4,Freq,1,left,1,50,0,0,-,0.9862900269217789
MALE20,5,Freq,1,right,1,50,0,1,-,0.9055694949347526
MALE20,6,Freq,1,left,1,45,0,1,-,0.9498784560710192
MALE20,7,Freq,1,left,1,45,0,1,-,1.0340683700051159
MALE20,8,Freq,1,n,-1,45,0,1,-,-1.0
MALE20,9,Freq,1,left,1,40,0,1,-,0.8962023409549147
MALE20,10,Freq,1,right,1,40,0,1,-,0.9102881479775533
MALE20,11,Freq,1,left,1,40,0,1,-,0.8226721209939569
MALE20,12,Freq,1,right,0,35,1,-1,1,0.9583265810506418
MALE20,13,Freq,1,left,1,40,0,-1,-,0.7999713909812272
MALE20,14,Freq,1,left,1,40,0,-1,-,0.7770766440080479
MALE20,15,Freq,1,left,1,40,1,1,2,1.0479515600018203
