PART_ID,Trial,Proc_version,Exp,Key,Corr,SOA,Reversal,Level,Rev_count,Lat
tMALE20,1,Freq,0,left,1,450,-,-,-,1.2350105680525303
tMALE20,1,Freq,0,left,1,450,-,-,-,0.9691740230191499
tMALE20,1,Freq,0,left,0,450,-,-,-,2.2185213960474357
tMALE20,1,Freq,0,left,1,450,-,-,-,1.332469351007603
tMALE20,1,Freq,0,right,1,450,-,-,-,1.5044340719468892
tMALE20,1,Freq,0,left,1,450,-,-,-,1.0583296300610527
tMALE20,2,Freq,0,left,1,300,-,-,-,1.2009691080311313
tMALE20,2,Freq,0,right,1,300,-,-,-,0.854084603022784
tMALE20,3,Freq,0,left,1,200,-,-,-,0.8415933649521321
tMALE20,3,Freq,0,right,1,200,-,-,-,0.9968617879785597
tMALE20,3,Freq,1,left,1,200,0,0,0,0.7626980380155146
tMALE20,4,Freq,1,right,1,200,0,0,-,1.126290392014198
tMALE20,5,Freq,1,left,1,200,0,1,-,0.8499326119199395
tMALE20,6,Freq,1,right,1,170,0,1,-,0.8484150059521198
tMALE20,7,Freq,1,right,1,170,0,1,-,0.9370723810279742
tMALE20,8,Freq,1,left,1,170,0,1,-,1.0833075110567734
tMALE20,9,Freq,1,right,1,140,0,1,-,0.7412987039424479
tMALE20,10,Freq,1,right,1,140,0,1,-,0.6874499060213566
tMALE20,11,Freq,1,left,1,140,0,1,-,0.627743682009168
tMALE20,12,Freq,1,right,1,110,0,1,-,0.6477249680319801
tMALE20,13,Freq,1,right,1,110,0,1,-,0.8614228350343183
tMALE20,14,Freq,1,right,1,110,0,1,-,0.757728882948868
tMALE20,15,Freq,1,left,1,80,0,1,-,0.5059941079234704
tMALE20,16,Freq,1,left,1,80,0,1,-,0.6742997829569504
tMALE20,17,Freq,1,right,1,80,0,1,-,0.5878350919811055
tMALE20,18,Freq,1,left,0,50,1,-1,1,0.8024801590945572
tMALE20,19,Freq,1,left,1,80,0,-1,-,0.4841885910136625
tMALE20,20,Freq,1,left,1,80,0,-1,-,0.44651633489411324
tMALE20,21,Freq,1,left,1,80,1,1,2,0.30062032595742494
