trigger_no,trigger_type,corr,key
1,stim_1_start,False,left
2,stim_1_end,False,left
3,stim_2_start,False,left
4,stim_2_end,False,left
5,answered,False,left
6,stim_1_start,False,noans
7,stim_1_end,False,noans
8,stim_2_start,False,noans
9,stim_2_end,False,noans
# 0:00:00.000013  | info     | TriggerHandler constructed with params: dummy_mode=True,trigger_time=0.004
# 0:00:00.000031  | info     | Possible triggerTypes registered: ['stim_1_start', 'stim_1_end', 'stim_2_start', 'stim_2_end', 'answered']
# 0:00:00.000036  | info     | Dummy mode: True
# 0:00:00.000043  | info     | Trigger time: 0.004
# 0:00:00.000049  | info     | Params registered: ['trigger_no', 'trigger_type', 'corr', 'key']
# 0:00:00.000056  | info     | Trigger limit set to: 60
# 0:00:10.790703  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:11.291467  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:11.908990  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=True
# 0:00:12.697569  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:16.493803  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:20.145854  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:20.646672  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:21.258137  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=True
# 0:00:21.451840  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
