trigger_no,trigger_type,corr,key
1,stim_1_start,False,noans
2,stim_1_end,False,noans
3,stim_2_start,False,noans
4,stim_2_end,False,noans
5,stim_1_start,False,noans
6,stim_1_end,False,noans
7,stim_2_start,False,noans
8,stim_2_end,False,noans
9,stim_1_start,False,noans
10,stim_1_end,False,noans
11,stim_2_start,False,noans
12,stim_2_end,False,noans
# 0:00:00.000011  | info     | TriggerHandler constructed with params: dummy_mode=True,trigger_time=0.004
# 0:00:00.000026  | info     | Possible triggerTypes registered: ['stim_1_start', 'stim_1_end', 'stim_2_start', 'stim_2_end', 'answered']
# 0:00:00.000029  | info     | Dummy mode: True
# 0:00:00.000031  | info     | Trigger time: 0.004
# 0:00:00.000034  | info     | Params registered: ['trigger_no', 'trigger_type', 'corr', 'key']
# 0:00:00.000038  | info     | Trigger limit set to: 60
# 0:00:02.354378  | info     | Connected to EEG (in connect_to_eeg())
# 0:00:06.698781  | info     | Value: 1 sent to EEG.
# 0:00:06.698800  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:06.702870  | info     | Clear message sent to EEG.
# 0:00:07.199534  | info     | Value: 2 sent to EEG.
# 0:00:07.199547  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:07.203768  | info     | Clear message sent to EEG.
# 0:00:07.811600  | info     | Value: 3 sent to EEG.
# 0:00:07.811611  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=True
# 0:00:07.815741  | info     | Clear message sent to EEG.
# 0:00:08.604634  | info     | Value: 4 sent to EEG.
# 0:00:08.604648  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:08.608785  | info     | Clear message sent to EEG.
# 0:00:16.390047  | info     | Value: 5 sent to EEG.
# 0:00:16.390062  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:16.394187  | info     | Clear message sent to EEG.
# 0:00:16.890812  | info     | Value: 6 sent to EEG.
# 0:00:16.890825  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:16.895154  | info     | Clear message sent to EEG.
# 0:00:17.511710  | info     | Value: 7 sent to EEG.
# 0:00:17.511727  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=True
# 0:00:17.515830  | info     | Clear message sent to EEG.
# 0:00:18.296135  | info     | Value: 8 sent to EEG.
# 0:00:18.296147  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:18.300348  | info     | Clear message sent to EEG.
# 0:00:26.103612  | info     | Value: 9 sent to EEG.
# 0:00:26.103627  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:26.107700  | info     | Clear message sent to EEG.
# 0:00:26.604444  | info     | Value: 10 sent to EEG.
# 0:00:26.604459  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:26.608653  | info     | Clear message sent to EEG.
# 0:00:27.228420  | info     | Value: 11 sent to EEG.
# 0:00:27.228440  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=True
# 0:00:27.232722  | info     | Clear message sent to EEG.
# 0:00:28.009737  | info     | Value: 12 sent to EEG.
# 0:00:28.009751  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:28.014088  | info     | Clear message sent to EEG.
