trigger_no,trigger_type,corr,key
1,stim_1_start,False,noans
2,stim_1_end,False,noans
3,stim_2_start,False,noans
4,stim_2_end,False,noans
# 0:00:00.000012  | info     | TriggerHandler constructed with params: dummy_mode=True,trigger_time=0.004
# 0:00:00.000021  | info     | Possible triggerTypes registered: ['stim_1_start', 'stim_1_end', 'stim_2_start', 'stim_2_end', 'answered']
# 0:00:00.000024  | info     | Dummy mode: True
# 0:00:00.000027  | info     | Trigger time: 0.004
# 0:00:00.000030  | info     | Params registered: ['trigger_no', 'trigger_type', 'corr', 'key']
# 0:00:00.000033  | info     | Trigger limit set to: 60
# 0:00:02.399045  | info     | Connected to EEG (in connect_to_eeg())
# 0:00:06.501045  | info     | Value: 1 sent to EEG.
# 0:00:06.501063  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:06.505267  | info     | Clear message sent to EEG.
# 0:00:07.002087  | info     | Value: 2 sent to EEG.
# 0:00:07.002100  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:07.006339  | info     | Clear message sent to EEG.
# 0:00:07.620765  | info     | Value: 3 sent to EEG.
# 0:00:07.620781  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=True
# 0:00:07.624926  | info     | Clear message sent to EEG.
# 0:00:07.807463  | info     | Value: 4 sent to EEG.
# 0:00:07.807470  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:07.811790  | info     | Clear message sent to EEG.
