trigger_no,trigger_type,corr,key
1,stim_1_start,True,left
2,stim_1_end,True,left
3,stim_2_start,True,left
4,answered,True,left
5,stim_2_end,True,left
6,stim_1_start,False,right
7,stim_1_end,False,right
8,stim_2_start,False,right
9,answered,False,right
10,stim_2_end,False,right
11,stim_1_start,False,left
12,stim_1_end,False,left
13,stim_2_start,False,left
14,answered,False,left
15,stim_2_end,False,left
16,stim_1_start,False,noans
17,stim_1_end,False,noans
18,stim_2_start,False,noans
19,stim_2_end,False,noans
20,stim_1_start,False,noans
21,stim_1_end,False,noans
22,stim_2_start,False,noans
23,stim_2_end,False,noans
24,stim_1_start,False,noans
25,stim_1_end,False,noans
26,stim_2_start,False,noans
27,stim_2_end,False,noans
28,stim_1_start,True,right
29,stim_1_end,True,right
30,stim_2_start,True,right
31,answered,True,right
32,stim_2_end,True,right
33,stim_1_start,True,right
34,stim_1_end,True,right
35,stim_2_start,True,right
36,stim_2_end,True,right
37,answered,True,right
38,stim_1_start,True,right
39,stim_1_end,True,right
40,stim_2_start,True,right
41,answered,True,right
42,stim_2_end,True,right
43,stim_1_start,False,right
44,stim_1_end,False,right
45,stim_2_start,False,right
46,answered,False,right
47,stim_2_end,False,right
48,stim_1_start,False,right
49,stim_1_end,False,right
50,stim_2_start,False,right
51,stim_2_end,False,right
52,answered,False,right
53,stim_1_start,False,noans
54,stim_1_end,False,noans
55,stim_2_start,False,noans
56,stim_2_end,False,noans
57,stim_1_start,False,right
58,stim_1_end,False,right
59,stim_2_start,False,right
60,stim_2_end,False,right
1,answered,False,right
2,stim_1_start,True,right
3,stim_1_end,True,right
4,stim_2_start,True,right
5,answered,True,right
6,stim_2_end,True,right
7,stim_1_start,False,right
8,stim_1_end,False,right
9,stim_2_start,False,right
10,answered,False,right
11,stim_2_end,False,right
12,stim_1_start,True,right
13,stim_1_end,True,right
14,stim_2_start,True,right
15,answered,True,right
16,stim_2_end,True,right
17,stim_1_start,True,right
18,stim_1_end,True,right
19,stim_2_start,True,right
20,answered,True,right
21,stim_2_end,True,right
22,stim_1_start,True,right
23,stim_1_end,True,right
24,stim_2_start,True,right
25,answered,True,right
26,stim_2_end,True,right
# 0:00:00.000018  | info     | TriggerHandler constructed with params: dummy_mode=True,trigger_time=0.04
# 0:00:00.000040  | info     | Possible triggerTypes registered: ['stim_1_start', 'stim_1_end', 'stim_2_start', 'stim_2_end', 'answered']
# 0:00:00.000046  | info     | Dummy mode: True
# 0:00:00.000053  | info     | Trigger time: 0.04
# 0:00:00.000061  | info     | Params registered: ['trigger_no', 'trigger_type', 'corr', 'key']
# 0:00:00.000068  | info     | Trigger limit set to: 60
# 0:00:07.279009  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:07.779842  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:08.123327  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:08.384656  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:08.426539  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:10.594849  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:11.095619  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:11.438949  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:11.479620  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:11.521553  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:13.689146  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:14.189883  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:14.532833  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:14.688736  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:14.730790  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:16.904187  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:17.404967  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:17.747581  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:18.246068  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:24.413527  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:24.914296  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:25.257169  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:25.755056  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:31.927818  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:32.428585  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:32.773339  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:33.269341  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:47.847781  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:48.348526  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:48.693726  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:49.121011  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:49.164856  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:50.336620  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:50.837367  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:51.182560  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:51.678171  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:51.953051  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:53.126115  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:53.626818  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:53.973877  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:54.081117  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:54.126424  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:55.298474  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:55.799203  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:56.145739  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:56.225160  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:56.269759  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:57.443636  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:57.944367  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:58.288980  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:58.785300  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:59.520901  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:01:00.693774  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:01:01.194513  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:01:01.539751  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:01:02.035308  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:01:07.211331  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:01:07.711875  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:01:08.056965  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:01:08.552752  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:01:11.008944  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:01:12.181365  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:01:12.682119  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:01:13.028017  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:01:13.068966  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:01:13.113221  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:01:14.286106  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:01:14.786843  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:01:15.133363  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:01:15.536945  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:01:15.580982  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:01:16.752852  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:01:17.253320  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:01:17.599552  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:01:17.640202  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:01:17.684132  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:01:18.856132  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:01:19.356832  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:01:19.702921  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:01:20.193119  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:01:20.237145  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:01:21.409916  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:01:21.910694  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:01:22.257314  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:01:22.481107  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:01:22.525082  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
