trigger_no,trigger_type,corr,key
1,stim_1_start,True,right
2,stim_1_end,True,right
3,stim_2_start,True,right
4,stim_2_end,True,right
5,answered,True,right
6,stim_1_start,True,right
7,stim_1_end,True,right
8,stim_2_start,True,right
9,stim_2_end,True,right
10,answered,True,right
11,stim_1_start,True,left
12,stim_1_end,True,left
13,stim_2_start,True,left
14,stim_2_end,True,left
15,answered,True,left
16,stim_1_start,True,left
17,stim_1_end,True,left
18,stim_2_start,True,left
19,stim_2_end,True,left
20,answered,True,left
21,stim_1_start,True,right
22,stim_1_end,True,right
23,stim_2_start,True,right
24,stim_2_end,True,right
25,answered,True,right
26,stim_1_start,True,left
27,stim_1_end,True,left
28,stim_2_start,True,left
29,stim_2_end,True,left
30,answered,True,left
31,stim_1_start,True,left
32,stim_1_end,True,left
33,stim_2_start,True,left
34,stim_2_end,True,left
35,answered,True,left
36,stim_1_start,True,left
37,stim_1_end,True,left
38,stim_2_start,True,left
39,stim_2_end,True,left
40,answered,True,left
41,stim_1_start,True,left
42,stim_1_end,True,left
43,stim_2_start,True,left
44,stim_2_end,True,left
45,answered,True,left
46,stim_1_start,True,right
47,stim_1_end,True,right
48,stim_2_start,True,right
49,stim_2_end,True,right
50,answered,True,right
51,stim_1_start,True,right
52,stim_1_end,True,right
53,stim_2_start,True,right
54,stim_2_end,True,right
55,answered,True,right
56,stim_1_start,True,right
57,stim_1_end,True,right
58,stim_2_start,True,right
59,stim_2_end,True,right
60,answered,True,right
1,stim_1_start,True,left
2,stim_1_end,True,left
3,stim_2_start,True,left
4,stim_2_end,True,left
5,answered,True,left
6,stim_1_start,True,left
7,stim_1_end,True,left
8,stim_2_start,True,left
9,stim_2_end,True,left
10,answered,True,left
11,stim_1_start,True,left
12,stim_1_end,True,left
13,stim_2_start,True,left
14,stim_2_end,True,left
15,answered,True,left
16,stim_1_start,True,right
17,stim_1_end,True,right
18,stim_2_start,True,right
19,stim_2_end,True,right
20,answered,True,right
21,stim_1_start,True,left
22,stim_1_end,True,left
23,stim_2_start,True,left
24,stim_2_end,True,left
25,answered,True,left
26,stim_1_start,True,right
27,stim_1_end,True,right
28,stim_2_start,True,right
29,stim_2_end,True,right
30,answered,True,right
31,stim_1_start,True,right
32,stim_1_end,True,right
33,stim_2_start,True,right
34,stim_2_end,True,right
35,answered,True,right
36,stim_1_start,True,left
37,stim_1_end,True,left
38,stim_2_start,True,left
39,stim_2_end,True,left
40,answered,True,left
41,stim_1_start,True,left
42,stim_1_end,True,left
43,stim_2_start,True,left
44,stim_2_end,True,left
45,answered,True,left
46,stim_1_start,True,left
47,stim_1_end,True,left
48,stim_2_start,True,left
49,stim_2_end,True,left
50,answered,True,left
51,stim_1_start,True,right
52,stim_1_end,True,right
53,stim_2_start,True,right
54,stim_2_end,True,right
55,answered,True,right
56,stim_1_start,True,left
57,stim_1_end,True,left
58,stim_2_start,True,left
59,stim_2_end,True,left
60,answered,True,left
1,stim_1_start,True,right
2,stim_1_end,True,right
3,stim_2_start,True,right
4,stim_2_end,True,right
5,answered,True,right
6,stim_1_start,True,left
7,stim_1_end,True,left
8,stim_2_start,True,left
9,stim_2_end,True,left
10,answered,True,left
11,stim_1_start,True,right
12,stim_1_end,True,right
13,stim_2_start,True,right
14,stim_2_end,True,right
15,answered,True,right
16,stim_1_start,True,left
17,stim_1_end,True,left
18,stim_2_start,True,left
19,stim_2_end,True,left
20,answered,True,left
21,stim_1_start,True,left
22,stim_1_end,True,left
23,stim_2_start,True,left
24,stim_2_end,True,left
25,answered,True,left
26,stim_1_start,True,right
27,stim_1_end,True,right
28,stim_2_start,True,right
29,stim_2_end,True,right
30,answered,True,right
31,stim_1_start,True,left
32,stim_1_end,True,left
33,stim_2_start,True,left
34,stim_2_end,True,left
35,answered,True,left
36,stim_1_start,True,left
37,stim_1_end,True,left
38,stim_2_start,True,left
39,stim_2_end,True,left
40,answered,True,left
41,stim_1_start,True,left
42,stim_1_end,True,left
43,stim_2_start,True,left
44,stim_2_end,True,left
45,answered,True,left
46,stim_1_start,True,right
47,stim_1_end,True,right
48,stim_2_start,True,right
49,stim_2_end,True,right
50,answered,True,right
51,stim_1_start,True,left
52,stim_1_end,True,left
53,stim_2_start,True,left
54,stim_2_end,True,left
55,answered,True,left
56,stim_1_start,True,left
57,stim_1_end,True,left
58,stim_2_start,True,left
59,stim_2_end,True,left
60,answered,True,left
1,stim_1_start,True,left
2,stim_1_end,True,left
3,stim_2_start,True,left
4,stim_2_end,True,left
5,answered,True,left
6,stim_1_start,True,left
7,stim_1_end,True,left
8,stim_2_start,True,left
9,stim_2_end,True,left
10,answered,True,left
11,stim_1_start,True,left
12,stim_1_end,True,left
13,stim_2_start,True,left
14,stim_2_end,True,left
15,answered,True,left
16,stim_1_start,False,left
17,stim_1_end,False,left
18,stim_2_start,False,left
19,stim_2_end,False,left
20,answered,False,left
# 0:00:00         | info     | TriggerHandler constructed with params: dummy_mode=True,trigger_time=0.02
# 0:00:00         | info     | Possible triggerTypes registered: ['stim_1_start', 'stim_1_end', 'stim_2_start', 'stim_2_end', 'answered']
# 0:00:00         | info     | Dummy mode: True
# 0:00:00         | info     | Trigger time: 0.02
# 0:00:00         | info     | Params registered: ['trigger_no', 'trigger_type', 'corr', 'key']
# 0:00:00         | info     | Trigger limit set to: 60
# 0:00:52.050227  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:52.551155  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:52.873924  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:53.371473  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:54.103446  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:56.290841  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:56.791674  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:57.114711  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:57.612124  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:58.062600  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:01:00.242659  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:01:00.743596  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:01:01.066445  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:01:01.563784  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:01:01.872641  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:01:04.057435  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:01:04.557716  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:01:04.880148  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:01:05.377561  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:01:05.493938  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:01:07.676990  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:01:08.178311  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:01:08.501784  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:01:08.999839  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:01:09.472535  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:01:11.658510  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:01:12.158980  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:01:12.481761  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:01:12.979590  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:01:13.287648  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:01:15.476595  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:01:15.976898  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:01:16.299721  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:01:16.797700  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:01:17.271646  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:01:19.459157  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:01:19.959547  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:01:20.282354  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:01:20.780069  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:01:21.498509  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:01:23.692957  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:01:24.193337  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:01:24.516090  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:01:25.013456  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:01:25.614395  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:01:27.793601  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:01:28.294652  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:01:28.617389  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:01:29.115498  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:01:30.297569  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:01:34.010403  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:01:34.510736  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:01:34.834315  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:01:35.331944  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
