trigger_no,trigger_type,corr,key
1,stim_1_start,True,left
2,stim_1_end,True,left
3,stim_2_start,True,left
4,stim_2_end,True,left
5,answered,True,left
6,stim_1_start,False,left
7,stim_1_end,False,left
8,stim_2_start,False,left
9,answered,False,left
10,stim_2_end,False,left
# 0:00:00.000011  | info     | TriggerHandler constructed with params: dummy_mode=True,trigger_time=0.04
# 0:00:00.000022  | info     | Possible triggerTypes registered: ['stim_1_start', 'stim_1_end', 'stim_2_start', 'stim_2_end', 'answered']
# 0:00:00.000025  | info     | Dummy mode: True
# 0:00:00.000028  | info     | Trigger time: 0.04
# 0:00:00.000031  | info     | Params registered: ['trigger_no', 'trigger_type', 'corr', 'key']
# 0:00:00.000034  | info     | Trigger limit set to: 60
# 0:00:03.826917  | info     | Connected to EEG (in connect_to_eeg())
# 0:00:07.108625  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:07.609281  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:07.961320  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:08.449961  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:08.964738  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:11.155263  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:11.656187  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:12.011588  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:12.372676  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:12.428130  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
