trigger_no,trigger_type,corr,key
1,stim_1_start,True,left
2,stim_1_end,True,left
3,stim_2_start,True,left
4,stim_2_end,True,left
5,answered,True,left
6,stim_1_start,True,left
7,stim_1_end,True,left
8,stim_2_start,True,left
9,stim_2_end,True,left
10,answered,True,left
# 0:00:00.000014  | info     | TriggerHandler constructed with params: dummy_mode=True,trigger_time=0.04
# 0:00:00.000027  | info     | Possible triggerTypes registered: ['stim_1_start', 'stim_1_end', 'stim_2_start', 'stim_2_end', 'answered']
# 0:00:00.000042  | info     | Dummy mode: True
# 0:00:00.000046  | info     | Trigger time: 0.04
# 0:00:00.000049  | info     | Params registered: ['trigger_no', 'trigger_type', 'corr', 'key']
# 0:00:00.000055  | info     | Trigger limit set to: 60
# 0:00:04.570668  | info     | Connected to EEG (in connect_to_eeg())
# 0:00:07.246523  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:07.747174  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:08.100112  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:08.587838  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:08.911567  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:11.110641  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:11.611289  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:11.966885  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:12.452082  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:12.543490  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
