trigger_no,trigger_type,corr,key
1,stim_1_start,True,right
2,stim_1_end,True,right
3,stim_2_start,True,right
4,stim_2_end,True,right
5,answered,True,right
6,stim_1_start,True,left
7,stim_1_end,True,left
8,stim_2_start,True,left
9,stim_2_end,True,left
10,answered,True,left
# 0:00:00         | info     | TriggerHandler constructed with params: dummy_mode=True,trigger_time=0.04
# 0:00:00         | info     | Possible triggerTypes registered: ['stim_1_start', 'stim_1_end', 'stim_2_start', 'stim_2_end', 'answered']
# 0:00:00         | info     | Dummy mode: True
# 0:00:00         | info     | Trigger time: 0.04
# 0:00:00         | info     | Params registered: ['trigger_no', 'trigger_type', 'corr', 'key']
# 0:00:00         | info     | Trigger limit set to: 60
# 0:00:08.167848  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:08.669068  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:09.012010  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:09.509809  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:09.572530  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:11.758081  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:12.258225  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:12.601275  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:13.099304  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:14.614443  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
